x ,y, z, class, r, g, b
2.735974e+01, 1.303016e+01, 1.493333e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-3.853303e+00, -1.962580e+01, 2.031961e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-6.628283e+00, -2.021415e+01, 7.897583e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.240403e+01, 2.339748e+01, 5.509972e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
1.417414e+01, 2.624654e+01, 4.795277e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-3.982644e+00, -1.944980e+01, 3.351556e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-1.128449e+01, -1.917114e+01, -3.735588e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
1.514531e+01, 2.511216e+01, 2.513919e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-7.986226e+00, -1.813797e+01, -2.907724e+00, 6.000000e+00, 1.280000e+02, 1.280000e+02, 1.280000e+02
1.345170e+01, 2.236590e+01, 2.898067e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
2.762905e+01, 1.072021e+01, 1.679612e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
2.717015e+01, 1.230056e+01, 1.812128e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.536135e+01, 2.376971e+01, 2.558461e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.687357e+01, 2.426566e+01, 3.641944e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.550148e+01, 2.285077e+01, 3.306943e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-4.108550e+00, 2.963872e+01, 7.288032e+00, 6.000000e+00, 1.280000e+02, 1.280000e+02, 1.280000e+02
-3.585351e+00, -1.964450e+01, 9.230911e-02, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
7.083919e-01, -1.868343e+01, 9.287923e+00, 1.000000e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00
-5.913064e+00, -2.045625e+01, 8.734467e-01, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
-8.569235e+00, -1.571176e+01, -7.025352e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.398410e+00, -2.020006e+01, 3.931645e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-8.992338e+00, -2.065367e+01, -3.337976e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.420368e+01, 2.091105e+01, 9.522266e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-6.423403e+00, -1.905499e+01, 4.780861e-02, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
2.467460e+01, 1.293514e+01, 1.621725e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-2.820613e+00, -1.945294e+01, 2.479784e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-5.021841e+00, -1.687158e+01, -5.786746e-01, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-5.353914e+00, -2.058730e+01, 2.291870e+00, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
1.566594e+01, 2.495217e+01, 2.723840e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.354901e+01, 2.346215e+01, 3.859396e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-5.058385e+00, -1.902242e+01, 2.937100e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.786913e+01, 2.647369e+01, 3.045514e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
1.305396e+01, 2.256327e+01, 3.594892e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
2.421866e+01, -3.006242e+00, 2.878477e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-3.986534e+00, -1.917829e+01, 2.090672e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-6.427521e+00, -1.903804e+01, 8.498645e-01, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
-1.015021e+01, -2.070297e+01, -3.086670e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.668309e+01, 2.463644e+01, 3.429239e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
2.591999e+01, 2.071764e+01, 8.330034e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
1.719004e+01, 2.621421e+01, 3.089935e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-4.398884e+00, -2.043066e+01, 1.885011e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-3.964760e+00, -1.961821e+01, 3.357372e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-1.105538e+00, -4.673170e+00, -2.027365e+00, 1.200000e+01, 0.000000e+00, 1.280000e+02, 1.280000e+02
-6.149163e+00, -1.933162e+01, 1.242514e+00, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
2.086492e+01, -1.950300e+01, 2.845792e+01, 1.400000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-3.419263e+00, -1.932725e+01, -1.257351e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.868257e+01, 5.616254e+00, 1.602122e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-3.703326e+00, -2.148740e+01, 3.692868e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.381569e+01, 2.404505e+01, 2.809706e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
1.654171e+01, 2.600490e+01, 2.540390e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-5.982581e+00, -2.045458e+01, 1.053385e+00, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
-6.140478e+00, -2.105415e+01, -1.184181e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-7.677530e+00, -1.908852e+01, 9.556044e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-3.636877e+00, -2.023384e+01, 2.690630e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.715328e+01, 2.480396e+01, 2.554105e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-7.108893e-01, -1.937931e+01, 2.974806e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.044940e+00, -2.006637e+01, 2.209886e+00, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
1.218869e+01, 2.421889e+01, 4.081984e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-8.056219e+00, -2.378365e+01, 1.487396e+01, 1.200000e+01, 0.000000e+00, 1.280000e+02, 1.280000e+02
-6.858794e+00, -1.987695e+01, 3.607533e-01, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
1.613775e+01, 2.545038e+01, 5.242044e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-5.548849e+00, -2.109424e+01, 1.920012e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.433123e+00, -1.958755e+01, 2.521593e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.847018e+01, 1.004907e+01, 1.382100e+01, 1.400000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-7.083023e+00, -1.937058e+01, 2.652511e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
